Symbol,Trade_Count,Profit_Trades,Loss_Trades,Portfolio_Value,Win_Loss_Perc,P/L_Perc,Pft_Per_Trd
BAJFINANCE,164.0,86.0,77.0,1370409.61,52.0,1270.0,774.0
TITAN,150.0,76.0,74.0,282488.61,51.0,182.0,121.0
RELAXO,139.0,61.0,78.0,279482.34,44.0,179.0,129.0
ASIANPAINT,123.0,60.0,62.0,272779.87,49.0,173.0,141.0
SONATSOFTW,167.0,67.0,100.0,215505.64,40.0,115.99999999999999,69.0
PIDILITIND,143.0,64.0,78.0,185890.79,45.0,86.0,60.0
HDFCBANK,117.0,61.0,55.0,179228.51,52.0,79.0,68.0
MOTHERSON,163.0,60.0,102.0,165207.63,37.0,65.0,40.0
KOTAKBANK,137.0,63.0,73.0,163265.64,46.0,63.0,46.0
HINDUNILVR,116.0,59.0,57.0,162504.66,51.0,63.0,54.0
RELIANCE,142.0,62.0,79.0,156930.42,44.0,56.99999999999999,40.0
NESTLEIND,117.0,57.0,60.0,150445.5,49.0,50.0,43.0
INFY,127.0,63.0,63.0,141283.0,50.0,41.0,32.0
ICICIBANK,148.0,63.0,84.0,118279.56,43.0,18.0,12.0
ITC,120.0,49.0,70.0,96115.92,41.0,-4.0,-3.0
TCS,118.0,47.0,70.0,66689.99,40.0,-33.0,-28.000000000000004
